project_short_title,milestone_title,task_title,task_description,task_type
EV Charging,Elektrische Infrastruktur,Transformator- & Paneel-Installation,Installation von Transformatoren und Verteilerpaneelen,Task
EV Charging,Elektrische Infrastruktur,Leerrohr & Verkabelung,Verlegung von elektrischen Leerrohren und Kabeln zu Ladegerätestandorten,Task
EV Charging,Elektrische Infrastruktur,Lastmanagement-System,Installation dynamischen Lastmanagements für Demand-Kontrolle,Feature
EV Charging,Installation & Inbetriebnahme,Standortvorbereitung & Bauarbeiten,Vorbereitung von Betonplattformen und Grabungen für Ladegeräte,Task
EV Charging,Installation & Inbetriebnahme,Ladegeräte-Montage & Installation,Montage und Installation von Ladestationen,Task
EV Charging,Installation & Inbetriebnahme,Netzwerkkonnektivitäts-Setup,Konfiguration von Mobilfunk- oder WiFi-Netzwerkkonnektivität,Task
EV Charging,Installation & Inbetriebnahme,Ladegeräte-Inbetriebnahme & Testen,Inbetriebnahme von Ladegeräten und Durchführung von Funktionstests,Task
EV Charging,Zahlungssystemintegration,Zahlungsgateway-Integration,Integration von Kreditkarten- und Mobile-Payment-Verarbeitung,Task
EV Charging,Zahlungssystemintegration,Preis-Konfiguration,Konfiguration von Time-of-Use- und sitzungsbasierter Preisgestaltung,Task
EV Charging,Zahlungssystemintegration,RFID-Kartensystem,Implementierung von Mitglieder-RFID-Karten-Authentifizierung,Feature
EV Charging,Zahlungssystemintegration,PCI-Compliance-Validierung,Sicherstellung von PCI-DSS-Compliance für Zahlungsverarbeitung,Task
EV Charging,Mobile-App-Entwicklung,App-Design & Entwicklung,Entwicklung von iOS- und Android-Mobilanwendungen,Feature
EV Charging,Mobile-App-Entwicklung,Standort-Locator & Verfügbarkeit,Implementierung von Echtzeit-Ladegeräte-Verfügbarkeitskarte,Feature
EV Charging,Mobile-App-Entwicklung,Reservierungssystem,Aufbau von Ladegeräte-Reservierungs- und Planungsfunktion,Feature
EV Charging,Mobile-App-Entwicklung,Push-Benachrichtigungen,Implementierung von Ladestatus-Benachrichtigungen,Task
EV Charging,Marketing & Launch,Markenentwicklung,Entwicklung von Ladenetzwerk-Markenidentität,Task
EV Charging,Marketing & Launch,Launch-Marketing-Kampagne,Durchführung digitaler und Outdoor-Werbekampagne,Task
EV Charging,Marketing & Launch,Flottenpartnerschaften,Etablierung von Partnerschaften mit Flottenbetreibern,Task
EV Charging,Marketing & Launch,Incentive-Programme,Start von Werbepreisen und Mitglieder-Incentives,Task
